baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	gene_biotype	diffexpressed	delabel
ENSG00000078053	2561.8018894242	1.16529725068293	0.286234337863806	4.0711301773912	4.67855935231239e-05	0.0241777452388054	AMPH	protein_coding	UP	NA
ENSG00000080493	2596.37014180416	1.68031740647989	0.347689660324332	4.83280809936209	1.34620540009469e-06	0.00202943390597753	SLC4A4	protein_coding	UP	NA
ENSG00000087494	663.19157474119	2.21034282703789	0.414374742985276	5.33416397706562	9.59857552799423e-08	0.00025600877637088	PTHLH	protein_coding	UP	NA
ENSG00000105248	862.983387301629	0.841494471871766	0.212390521802314	3.96201518189687	7.43198132973045e-05	0.0290665149759098	YJU2	protein_coding	UP	NA
ENSG00000112584	1128.692225741	-0.590088782479176	0.15540119657665	-3.79719587415223	0.000146342151929995	0.0418012696436275	FAM120B	protein_coding	DOWN	NA
ENSG00000115290	3008.30375190112	-1.45627859666018	0.359872667854688	-4.04664962566206	5.19559191744487e-05	0.0246776381580227	GRB14	protein_coding	DOWN	NA
ENSG00000115361	151.184972829829	-1.98746564976593	0.476640213697366	-4.16973975894496	3.04947655495587e-05	0.0191107974494234	ACADL	protein_coding	DOWN	NA
ENSG00000118407	1544.25691053536	0.686229164557766	0.169218050307001	4.05529530279297	5.00710047710143e-05	0.0242560995861612	FILIP1	protein_coding	UP	NA
ENSG00000119125	27.12860572748	-1.9676292261632	0.488512650771213	-4.02779584736836	5.63021984066598e-05	0.025198825947711	GDA	protein_coding	DOWN	NA
ENSG00000122679	2278.92548609776	1.04764924808598	0.239588461254861	4.37270327042816	1.22717467186227e-05	0.0112937372391055	RAMP3	protein_coding	UP	NA
ENSG00000124479	563.026925481141	-1.96654402191031	0.404493584013552	-4.86174342346163	1.16356378980242e-06	0.00183382942199178	NDP	protein_coding	DOWN	NA
ENSG00000133878	5.21619103437218	2.71583811488045	0.672811962927356	4.03654849278249	5.42433178537307e-05	0.0250770474658987	DUSP26	protein_coding	UP	NA
ENSG00000139193	82.7621221872065	1.54387899554204	0.395802463374097	3.90063008294829	9.59426565315017e-05	0.0342950487620284	CD27	protein_coding	UP	NA
ENSG00000139220	2406.46872396527	1.09253049970977	0.243925471062742	4.47895209528467	7.50103634706709e-06	0.00838978816973733	PPFIA2	protein_coding	UP	NA
ENSG00000140750	3.40671343414365	1.77952048072766	0.461203503349888	3.85842793431176	0.000114118706263706	0.0384017411376294	ARHGAP17	protein_coding	UP	NA
ENSG00000144227	100.664236425348	1.76801556940811	0.411113851617149	4.30054974419734	1.70374919811156e-05	0.0131275768769161	NXPH2	protein_coding	UP	NA
