Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	gene_biotype	diffexpressed	delabel
ENSG00000101489	357.929008949992	2.11296563412354	0.491353823123416	4.30029346407022	1.7057207815334e-05	0.013959429351538	CELF4	protein_coding	UP	NA
ENSG00000104499	66.6904031968354	2.45568431791115	0.599657398151474	4.09514553723698	4.2190327100939e-05	0.0243727728832915	GML	protein_coding	UP	NA
ENSG00000109956	229.080574199721	2.68596225567706	0.554280375986135	4.84585486343151	1.26067654972014e-06	0.00371420525078549	B3GAT1	protein_coding	UP	NA
ENSG00000111981	15.4115254060582	3.97343523122738	0.943505808166205	4.21135216851515	2.53846650319716e-05	0.0182410488090719	ULBP1	protein_coding	UP	NA
ENSG00000114200	161.090759467445	2.71585144475196	0.672650233667222	4.0375388408704	5.40149037438707e-05	0.0279190718263494	BCHE	protein_coding	UP	NA
ENSG00000116703	20.7786885328658	4.96244293727407	0.928720346261018	5.34331239457886	9.1263278913539e-08	0.000448133120558448	PDC	protein_coding	UP	NA
ENSG00000117598	52.8439873343162	2.4501899427258	0.623058323810107	3.93252100018899	8.40596336283718e-05	0.0353794989422727	PLPPR5	protein_coding	UP	NA
ENSG00000121075	76.8779934561192	3.3722301791044	0.800269692176108	4.2138671651235	2.51034962964935e-05	0.0182410488090719	TBX4	protein_coding	UP	NA
ENSG00000124479	776.350894303952	-3.24348373024346	0.577439910194002	-5.61700650229345	1.94294114010823e-08	0.000143107329674671	NDP	protein_coding	DOWN	NA
ENSG00000133710	342.003094050671	-3.6196309438192	0.641285284160258	-5.64433807109575	1.65817961720125e-08	0.000143107329674671	SPINK5	protein_coding	DOWN	NA
ENSG00000137948	104.889334313617	-2.5293812666769	0.642182017842097	-3.93872951344277	8.19142131264724e-05	0.0349761818424946	BRDT	protein_coding	DOWN	NA
ENSG00000143858	117.951920939623	2.85966157958694	0.64427184089772	4.43859470189218	9.05481420711296e-06	0.009880479117406	SYT2	protein_coding	UP	NA
ENSG00000144583	80.2043743602439	2.22567937806205	0.499805401861713	4.45309188290417	8.46425112672859e-06	0.00959129871906453	MARCHF4	protein_coding	UP	NA
ENSG00000149972	927.102501508877	2.12928518505907	0.555063162521535	3.8361133089542	0.00012499675565556	0.0438484599487135	CNTN5	protein_coding	UP	NA
ENSG00000154118	100.382525409773	3.87789539453933	0.844119627654418	4.59401163945798	4.34805110304835e-06	0.00610010864752431	JPH3	protein_coding	UP	NA
ENSG00000156006	53.1181343153007	-2.84159426365159	0.74039462327012	-3.83794556894679	0.000124067973850237	0.0438484599487135	NAT2	protein_coding	DOWN	NA
ENSG00000157335	14.8775406730316	-2.41818261860255	0.634123255460715	-3.81342680272094	0.000137053129740265	0.0467359977189476	CLEC18C	protein_coding	DOWN	NA
ENSG00000157445	6359.90538287416	1.90066639527296	0.471788679950513	4.02863925321888	5.61006268699037e-05	0.0283746435541239	CACNA2D3	protein_coding	UP	NA
ENSG00000157766	77.2929646896508	2.9237190742383	0.69938669837687	4.18040417557789	2.90991417641832e-05	0.0190515314368081	ACAN	protein_coding	UP	NA
ENSG00000164294	353.992231189056	1.10525392180687	0.271630424194713	4.06896217566037	4.72230119327271e-05	0.0262506486332454	GPX8	protein_coding	UP	NA
ENSG00000165164	1598.31679517074	2.22902631848889	0.49142173125162	4.53587250366748	5.73658291278311e-06	0.00704213357401733	CFAP47	protein_coding	UP	NA
ENSG00000165325	61.5614895493648	2.18875672880766	0.549825925187946	3.9808176161564	6.86786305536318e-05	0.0306577244450167	DEUP1	protein_coding	UP	NA
ENSG00000168229	320.74907581418	1.83771779432035	0.425382468099757	4.32015405460805	1.55920312371972e-05	0.013453487412866	PTGDR	protein_coding	UP	NA
ENSG00000172031	204.191437709795	-2.46391395175349	0.601159985455354	-4.09859939344961	4.1565773971036e-05	0.0243727728832915	EPHX4	protein_coding	DOWN	NA
ENSG00000173585	16.6152925464737	4.28637715450954	1.10246012509768	3.88801105539281	0.000101069024263385	0.0382388944313117	CCR9	protein_coding	UP	NA
ENSG00000173705	100.977655442695	1.87711667678057	0.444021119163456	4.22753917722898	2.36261047241929e-05	0.0178480076252352	SUSD5	protein_coding	UP	NA
ENSG00000176406	5834.9863514648	2.0221809267158	0.473166183019437	4.2737224241419	1.92236329974003e-05	0.0149043861939318	RIMS2	protein_coding	UP	NA
ENSG00000183454	1849.56165895182	1.7305094561667	0.364616417675237	4.74610953395977	2.0736644722781e-06	0.00477842018220418	GRIN2A	protein_coding	UP	NA
ENSG00000188877	20.5861641204412	2.30456625542979	0.59446137065699	3.87673004367435	0.000105869710808586	0.0389891677480322	POTEA	protein_coding	UP	NA
ENSG00000196353	1772.88244009999	2.23723458971042	0.532564837986968	4.20086800729635	2.65893583138544e-05	0.0186351281389849	CPNE4	protein_coding	UP	NA
ENSG00000203506	90.9989899807278	2.42849516936078	0.527188167166946	4.6065054578354	4.09492318357802e-06	0.00603223134172878	RBMS3-AS2	lncRNA	UP	NA
ENSG00000224893	20.7166418379212	3.81386691242094	0.871970091039091	4.37385060750892	1.22073934142737e-05	0.011601749186172	LINC02840	lncRNA	UP	NA
ENSG00000227757	183.367131953913	2.88985109324653	0.63643678249445	4.54067265238827	5.60750374457432e-06	0.00704213357401733	AP000282.1	lncRNA	UP	NA
ENSG00000229442	35.5648663389088	4.812657464505	1.02022051451264	4.71727180158105	2.3902826611333e-06	0.00477842018220418	THEMIS3P	unitary_pseudogene	UP	NA
ENSG00000229588	439.723548895904	1.38531071419616	0.321068062949334	4.31469483906523	1.59823521638147e-05	0.013453487412866	AL390115.1	lncRNA	UP	NA
ENSG00000230533	126.858870599277	2.13178670710978	0.51519036282945	4.13786215914814	3.50556855871274e-05	0.0219746938035733	LINC03004	lncRNA	UP	NA
ENSG00000232072	82.1510685557578	3.75502726600054	0.962393904539777	3.90175711658962	9.54969533173555e-05	0.038020692413999	AC004870.4	lncRNA	UP	NA
ENSG00000235431	25.4371790206353	4.72884480716633	1.09415208784423	4.32192641197021	1.54672780013578e-05	0.013453487412866	AC004936.1	lncRNA	UP	NA
ENSG00000237074	40.4528306746334	2.5221694325735	0.637813890504198	3.95439715271755	7.67278675565386e-05	0.0337396482679215	LINC02942	lncRNA	UP	NA
ENSG00000249332	429.455066532626	-2.2716447230415	0.591656203908211	-3.83946742725937	0.000123301485956682	0.0438484599487135	LINC02149	lncRNA	DOWN	NA
ENSG00000251026	11455.4658149612	-3.88382169102696	0.739415246818117	-5.25255829892606	1.50000962445838e-07	0.000631332622225609	NIHCOLE	lncRNA	DOWN	NA
ENSG00000251182	27.7884731644707	3.55501676099101	0.819003773886785	4.34065980443509	1.42055512310744e-05	0.0130788734490598	LINC02497	lncRNA	UP	NA
ENSG00000254669	32.0999600410754	-3.10926296762828	0.742044608279742	-4.1901294517002	2.78795354102924e-05	0.0186678834604099	AL135934.1	lncRNA	DOWN	NA
ENSG00000255244	38.8198028792151	3.79801823125745	0.840920088513349	4.51650315307833	6.2869181508754e-06	0.00740900730244365	AC023078.5	lncRNA	UP	NA
ENSG00000258710	25.4629502651969	4.10227467889151	0.987934719461728	4.15237423898475	3.29043585660818e-05	0.0210745263494327	LINC01193	lncRNA	UP	NA
ENSG00000258815	1496.65527506241	-5.63776804280053	0.874148865203923	-6.44943700920476	1.12266408954559e-10	3.30759294061921e-06	LINC02820	lncRNA	DOWN	NA
ENSG00000261632	110.982582634429	1.81759573576927	0.474908037218315	3.8272583180851	0.00012957850912843	0.0449134357169624	AC022872.1	lncRNA	UP	NA
ENSG00000265737	15.0861797260105	2.14960354453194	0.457312088914532	4.70051764788068	2.59502827083249e-06	0.00477842018220418	AP006565.1	lncRNA	UP	NA
ENSG00000265987	77.729811204394	2.09092852131136	0.548960999083976	3.80888355420584	0.000139595675760891	0.0467359977189476	AC011933.4	lncRNA	UP	NA
ENSG00000266389	32.5888229138473	1.97776218917505	0.52013744356393	3.80238379998876	0.000143310488169047	0.047440602274567	PIK3R5-DT	lncRNA	UP	NA
ENSG00000271554	68.972361798972	2.052104491118	0.511834503314323	4.00931253721631	6.08957744919223e-05	0.0283746435541239	AL138787.2	lncRNA	UP	NA
ENSG00000272745	8.66958979724976	-3.42733484878969	0.875456952008793	-3.9149096262534	9.04380762551031e-05	0.0369726459125027	AC004948.1	lncRNA	DOWN	NA
ENSG00000277047	368.450557069841	-4.28157341219154	0.889364672270014	-4.81419326142476	1.47795725315819e-06	0.00395850696295877	AL390964.1	lncRNA	DOWN	NA
ENSG00000279800	11.0910638352379	2.32576555572778	0.581008283195244	4.00298175257895	6.25491281879784e-05	0.0283746435541239	BCLAF1P2	processed_pseudogene	UP	NA
ENSG00000281131	93.2813771821303	2.1119835177482	0.535052025045847	3.94724890082834	7.90543595966557e-05	0.0342514638593628	SCHLAP1	lncRNA	UP	NA
ENSG00000282075	6.37290054010467	3.07436594288255	0.766448039528574	4.01118638749931	6.04143899925952e-05	0.0283746435541239	LINC03014	lncRNA	UP	NA
ENSG00000282840	65.4741253760088	2.31840343203134	0.527868679356945	4.39200794192912	1.12308595717628e-05	0.0112103570245093	MSL3-DT	lncRNA	UP	NA
ENSG00000286810	30.2775882708669	5.40458830672504	1.22763456127316	4.40244065882279	1.0703987218072e-05	0.0112103570245093		lncRNA	UP	NA
ENSG00000288011	41.5122417250925	3.65182921460431	0.748149261109251	4.88115059980128	1.05468657090488e-06	0.00345257508355551		lncRNA	UP	NA
ENSG00000288785	135.604474426786	1.49169643329932	0.384463064241103	3.87994731364844	0.000104479093584318	0.0389640893060908		lncRNA	UP	NA
ENSG00000291139	53.9448900735514	-2.69162420924251	0.664076177903705	-4.05318591270535	5.05248187890502e-05	0.027219375537489	DPY19L2P2	lncRNA	DOWN	NA
ENSG00000292407	37.390050065524	2.96410340081533	0.675429736872918	4.38847039003411	1.14150672301703e-05	0.0112103570245093		transcribed_unprocessed_pseudogene	UP	NA
ENSG00000292998	3886.7217516603	-2.85046835050425	0.743069526714364	-3.83607219516616	0.000125017671430722	0.0438484599487135	MIR3171HG	lncRNA	DOWN	NA
