Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	gene_biotype	diffexpressed	delabel
ENSG00000078053	3675.48287695952	1.822293512963	0.479112814454042	3.80347479338354	0.000142680517722697	0.0493428927326048	AMPH	protein_coding	UP	NA
ENSG00000095110	40.2775966480645	3.92247354770183	0.807396488034736	4.85817514174409	1.18472591971465e-06	0.00254697846186038	NXPE1	protein_coding	UP	NA
ENSG00000101489	338.185805370645	1.96093230197002	0.51533789806174	3.80513893766667	0.000141724614722513	0.0493428927326048	CELF4	protein_coding	UP	NA
ENSG00000104499	70.5344411082953	2.60797332817523	0.624844899703757	4.1737930955533	2.99569835521791e-05	0.0194706459608442	GML	protein_coding	UP	NA
ENSG00000109956	236.15671138623	2.78410283421852	0.580003963788962	4.80014449561854	1.5855119201366e-06	0.00295412580959851	B3GAT1	protein_coding	UP	NA
ENSG00000111981	15.8950829906386	4.08952735007977	0.998232662434003	4.09676772157327	4.18958903604416e-05	0.0234181268758724	ULBP1	protein_coding	UP	NA
ENSG00000114200	169.772325211554	2.85600408693582	0.709797646799009	4.02368773666074	5.72938726319402e-05	0.0296527620799531	BCHE	protein_coding	UP	NA
ENSG00000116703	23.3820800539688	4.33909056130643	1.04267362326799	4.16150410298734	3.16158316617731e-05	0.019835596427022	PDC	protein_coding	UP	NA
ENSG00000117598	54.0017886123515	2.48615862588472	0.650699149751926	3.82074976866429	0.00013304658909742	0.0492081250843762	PLPPR5	protein_coding	UP	NA
ENSG00000121075	81.1527197677944	3.54166040694787	0.841899524145239	4.2067495055822	2.59070028400032e-05	0.0181012228843103	TBX4	protein_coding	UP	NA
ENSG00000124479	811.796569195949	-3.24906963032354	0.599260114790643	-5.42180190226514	5.90012465194099e-08	0.000412241709431117	NDP	protein_coding	DOWN	NA
ENSG00000133710	362.306326159511	-3.57649492529645	0.679229537974336	-5.26551736245544	1.39795106101175e-07	0.00078139872506313	SPINK5	protein_coding	DOWN	NA
ENSG00000143858	123.523926572218	3.05250147972001	0.674836577189057	4.52331954565178	6.0877224225665e-06	0.0072355567009461	SYT2	protein_coding	UP	NA
ENSG00000144583	80.8632296865786	2.25220307787971	0.5315539056924	4.2370172691065	2.26508720856265e-05	0.0167324028205948	MARCHF4	protein_coding	UP	NA
ENSG00000146386	619.737145802689	0.904757954103069	0.229821645719224	3.93678302699313	8.25812098943586e-05	0.0368296899475307	ABRACL	protein_coding	UP	NA
ENSG00000149972	981.090202227619	2.22665571391596	0.583147115840768	3.81834301058939	0.000134351037849836	0.0492081250843762	CNTN5	protein_coding	UP	NA
ENSG00000154118	106.50509788413	4.01219282164883	0.916624963975099	4.37713675639957	1.20248530690368e-05	0.0101839573810134	JPH3	protein_coding	UP	NA
ENSG00000156006	55.9923532294154	-3.06769579365941	0.789341975602809	-3.88639637631922	0.000101743327957907	0.0406217504252511	NAT2	protein_coding	DOWN	NA
ENSG00000157077	7468.07573630182	-0.593788521687404	0.15172213972641	-3.91365770848039	9.09084786182578e-05	0.0381495788349486	ZFYVE9	protein_coding	DOWN	NA
ENSG00000157445	6719.72996745787	2.05764453177187	0.486338611189213	4.23088869448479	2.3276983896237e-05	0.0167324028205948	CACNA2D3	protein_coding	UP	NA
