"gene_name","isoform_id","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","gene_value_1","gene_value_2","iso_value_1","iso_value_2"
"ERBB2","ENST00000269571.10",0.302544444444444,0.335007692307692,0.0324632478632478,0.897842184494701,0.604586058628837,1522.52935991389,1723.03354509344,452.064641361962,573.941226843435
"ERBB2","ENST00000580074.1",0.0357444444444444,0.0168230769230769,-0.0189213675213675,0.604586058628837,0.604586058628837,1522.52935991389,1723.03354509344,60.6177865416102,29.9684717038944
"ERBB2","ENST00000578630.1",0.0773111111111111,0.0908846153846154,0.0135735042735043,0.847676545027239,0.604586058628837,1522.52935991389,1723.03354509344,117.202356089696,157.688903482245
"ERBB2","ENST00000938923.1",0.0308,0.0211461538461538,-0.00965384615384616,0.980417033643888,0.604586058628837,1522.52935991389,1723.03354509344,49.2617613080919,35.5172007408818
"ERBB2","ENST00000584684.1",0.236344444444444,0.245861538461538,0.00951709401709402,0.94949134380588,0.604586058628837,1522.52935991389,1723.03354509344,351.603554523542,424.316705986898
"ERBB2","ENST00000863101.1",0.0252888888888889,0.0168923076923077,-0.0083965811965812,0.934672531930091,0.604586058628837,1522.52935991389,1723.03354509344,36.3289256338683,28.482982594882
"ERBB2","ENST00000959774.1",0.0195888888888889,0.0112153846153846,-0.00837350427350427,0.892062686802206,0.604586058628837,1522.52935991389,1723.03354509344,30.2142047555804,19.6016970791399
"ERBB2","ENST00000582788.5",0.0145,0.00896923076923077,-0.00553076923076923,0.679625615333979,0.604586058628837,1522.52935991389,1723.03354509344,25.582265526089,15.4399522477127
"ERBB2","ENST00000583038.5",0.0555333333333333,0.0590692307692308,0.00353589743589744,0.982926206137535,0.604586058628837,1522.52935991389,1723.03354509344,86.8724027260299,100.877718139642
"ERBB2","ENST00000578373.5",0.0335222222222222,0.0355307692307692,0.00200854700854701,0.98528007708197,0.604586058628837,1522.52935991389,1723.03354509344,54.2521068953293,61.983862087545
"ERBB2","ENST00000863098.1",0.0268777777777778,0.0283692307692308,0.00149145299145299,0.980417033643888,0.604586058628837,1522.52935991389,1723.03354509344,39.1202865044049,48.9796288362893
"ERBB2","ENST00000578502.2",0.013,0.0141769230769231,0.00117692307692308,0.980417033643888,0.604586058628837,1522.52935991389,1723.03354509344,23.4696012744251,24.5104136877003
"ERBB2","ENST00000863102.1",0.0111,0.0106538461538462,-0.000446153846153846,0.980417033643888,0.604586058628837,1522.52935991389,1723.03354509344,18.7100246284474,18.7871358679535
"ERBB2","ENST00000584908.5",0.0379333333333333,0.0379,-3.33333333333297e-05,0.980417033643888,0.604586058628837,1522.52935991389,1723.03354509344,59.705475915712,66.1565678724488
