"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","signedR2"
1,0.107540075293936,-1.32735389933667,0.974886964407164,1945.22413503533,1885.72072903301,3846.51558718638,0.107540075293936
2,0.533822490771287,-2.04449265359653,0.978434525926525,417.723244994563,379.161953226623,1247.74615130781,0.533822490771287
3,0.781589898731128,-2.35016877071168,0.986479088479892,117.581160030277,95.0226062218392,535.110945146212,0.781589898731128
4,0.832731077327461,-2.60837155272377,0.983675606104832,40.1240419071478,27.7488193601874,292.882429286746,0.832731077327461
5,0.877240440033722,-2.57164614364633,0.996602931416165,15.9035002692725,9.05102137818369,181.692854959392,0.877240440033722
6,0.899310283544744,-2.4759649242867,0.99624526898498,7.11587895181971,3.23704898027705,123.091956892356,0.899310283544744
7,0.905318882811589,-2.40307371395856,0.993761020079253,3.5191823229528,1.25394994189683,88.7460826685295,0.905318882811589
8,0.926065200860869,-2.26722125239123,0.999270768342926,1.89206994444006,0.522862702920945,66.9035085059606,0.926065200860869
9,0.925556322309066,-2.18195278030503,0.992471310560087,1.09120746955979,0.232120835287508,52.115841505828,0.925556322309066
10,0.893291955398102,-2.12939229680412,0.942719246374652,0.66772851550131,0.108237530605115,41.6121681471774,0.893291955398102
12,0.940748374035682,-1.92887015583364,0.991759737943687,0.288513029827831,0.0262285112118024,27.9924863746711,0.940748374035682
14,0.952607754005226,-1.79425801874775,0.996964868697199,0.144446686525381,0.00709888284994642,19.813602595471,0.952607754005226
16,0.915989805814421,-1.7519473167158,0.947913279502427,0.0806707102602002,0.00204370253996078,14.5399511023136,0.915989805814421
18,0.498348060325593,-2.08017211869036,0.495754475971151,0.0489446084461868,0.00062492520018731,10.9653022336449,0.498348060325593
20,0.500397598347371,-2.00533415507548,0.497718912485301,0.0316667482513997,0.000198224983876449,8.45002394461602,0.500397598347371
